"Summary","Issue Type","Description","Priority","Labels","Assignee","Milestone","Due Date","Status"
"[G1-1] 项目章程、目标、里程碑冻结","Task","任务ID: G1-1 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_1","PM-Agent","M1","2026-04-12","Done"
"[G1-2] 需求基线与变更流程建立","Task","任务ID: G1-2 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_2","PM-Agent","M1","2026-04-12","Done"
"[G1-3] 多 Agent 协作机制发布（看板、状态机、日报模板）","Task","任务ID: G1-3 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_3","PM-Agent","M1","2026-04-12","Done"
"[G1-4] 周例会机制与风险台账建立","Task","任务ID: G1-4 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","High","traffic-system,M1,pm_agent,g1_4","PM-Agent","M1","2026-04-12","Done"
"[D1-1] 数据源接入（轨迹/客流/天气/事件）","Task","任务ID: D1-1 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_1","Data-Agent","M2","2026-05-03","Done"
"[D1-2] 数据治理规则（异常、缺失、重复、延迟）","Task","任务ID: D1-2 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_2","Data-Agent","M2","2026-05-03","Done"
"[D1-3] 地图匹配与时空对齐","Task","任务ID: D1-3 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_3","Data-Agent","M2","2026-05-03","Done"
"[D1-4] 特征工程管道（时间/空间/外部特征）","Task","任务ID: D1-4 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_4","Data-Agent","M2","2026-05-03","Done"
"[D1-5] 数据质量监控与评分看板","Task","任务ID: D1-5 | 责任Agent: Data-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,data_agent,d1_5","Data-Agent","M2","2026-05-03","Done"
"[A1-1] 基线模型（ARIMA/XGBoost）训练与评估","Task","任务ID: A1-1 | 责任Agent: Algo-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,algo_agent,a1_1","Algo-Agent","M2","2026-05-03","Done"
"[A1-2] 深度模型（LSTM/GRU）训练与评估","Task","任务ID: A1-2 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_2","Algo-Agent","M3","2026-05-24","Done"
"[A1-3] 时空模型（STGNN）训练与评估","Task","任务ID: A1-3 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_3","Algo-Agent","M3","2026-05-24","Done"
"[A1-4] 拥堵识别规则与参数标定","Task","任务ID: A1-4 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_4","Algo-Agent","M3","2026-05-24","Done"
"[A1-5] 归因分析（SHAP + 规则解释）","Task","任务ID: A1-5 | 责任Agent: Algo-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,algo_agent,a1_5","Algo-Agent","M3","2026-05-24","Done"
"[A1-6] 模型版本管理与回滚策略","Task","任务ID: A1-6 | 责任Agent: Algo-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M4,algo_agent,a1_6","Algo-Agent","M4","2026-06-07","Done"
"[B1-1] 核心 API（预测、拥堵、归因、地图图层）","Task","任务ID: B1-1 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,backend_agent,b1_1","Backend-Agent","M2","2026-05-03","Done"
"[B1-2] 认证鉴权（JWT + RBAC）","Task","任务ID: B1-2 | 责任Agent: Backend-Agent | 里程碑: M2 | 来源: 总清单与Agent任务边界","High","traffic-system,M2,backend_agent,b1_2","Backend-Agent","M2","2026-05-03","Done"
"[B1-3] 缓存策略（Redis）与异步任务机制","Task","任务ID: B1-3 | 责任Agent: Backend-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","High","traffic-system,M3,backend_agent,b1_3","Backend-Agent","M3","2026-05-24","Done"
"[B1-4] 调度接口（重训、模型发布、健康检查）","Task","任务ID: B1-4 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","High","traffic-system,M4,backend_agent,b1_4","Backend-Agent","M4","2026-06-07","Done"
"[B1-5] 审计日志与错误码规范","Task","任务ID: B1-5 | 责任Agent: Backend-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","Medium","traffic-system,M4,backend_agent,b1_5","Backend-Agent","M4","2026-06-07","Done"
