train_id,timestamp,station,line,occupancy_pct,reject_reasons
metro-00001,2026-03-25T00:00:00Z,Station-01,Red Line,82,delay:late_record
metro-00002,2026-03-25T00:00:00Z,Station-02,Green Line,56,delay:late_record
metro-00003,2026-03-25T00:45:00Z,Station-03,Blue Line,48,delay:late_record
metro-00004,2026-03-25T00:00:00Z,Station-04,Green Line,71,delay:late_record
metro-00005,2026-03-25T00:45:00Z,Station-05,Orange Line,65,delay:late_record
metro-00006,2026-03-25T00:45:00Z,Station-06,Blue Line,48,delay:late_record
metro-00007,2026-03-25T00:15:00Z,Station-07,Orange Line,75,delay:late_record
metro-00008,2026-03-25T00:15:00Z,Station-08,Blue Line,92,delay:late_record
metro-00009,2026-03-25T00:45:00Z,Station-09,Green Line,85,delay:late_record
metro-00010,2026-03-25T00:00:00Z,Station-10,Green Line,30,delay:late_record
metro-00011,2026-03-25T01:45:00Z,Station-01,Orange Line,50,delay:late_record
metro-00012,2026-03-25T01:00:00Z,Station-02,Red Line,88,delay:late_record
metro-00013,2026-03-25T01:30:00Z,Station-03,Blue Line,82,delay:late_record
metro-00014,2026-03-25T01:00:00Z,Station-04,Green Line,48,delay:late_record
metro-00015,2026-03-25T01:30:00Z,Station-05,Green Line,52,delay:late_record
metro-00016,2026-03-25T01:45:00Z,Station-06,Red Line,90,delay:late_record
metro-00017,2026-03-25T01:00:00Z,Station-07,Orange Line,74,delay:late_record
metro-00018,2026-03-25T01:30:00Z,Station-08,Blue Line,87,delay:late_record
metro-00019,2026-03-25T01:15:00Z,Station-09,Green Line,91,delay:late_record
metro-00020,2026-03-25T01:45:00Z,Station-10,Green Line,50,delay:late_record
metro-00021,2026-03-25T02:45:00Z,Station-01,Blue Line,86,delay:late_record
metro-00022,2026-03-25T02:15:00Z,Station-02,Red Line,60,delay:late_record
metro-00023,2026-03-25T02:45:00Z,Station-03,Orange Line,58,delay:late_record
metro-00024,2026-03-25T02:15:00Z,Station-04,Red Line,64,delay:late_record
metro-00025,2026-03-25T02:30:00Z,Station-05,Green Line,42,delay:late_record
metro-00026,2026-03-25T02:30:00Z,Station-06,Green Line,81,delay:late_record
metro-00027,2026-03-25T02:00:00Z,Station-07,Red Line,43,delay:late_record
metro-00028,2026-03-25T02:15:00Z,Station-08,Green Line,62,delay:late_record
metro-00029,2026-03-25T02:15:00Z,Station-09,Blue Line,93,delay:late_record
metro-00030,2026-03-25T02:00:00Z,Station-10,Blue Line,32,delay:late_record
metro-00031,2026-03-25T03:30:00Z,Station-01,Orange Line,73,delay:late_record
metro-00032,2026-03-25T03:00:00Z,Station-02,Orange Line,54,delay:late_record
metro-00033,2026-03-25T03:15:00Z,Station-03,Red Line,69,delay:late_record
metro-00034,2026-03-25T03:45:00Z,Station-04,Green Line,64,delay:late_record
metro-00035,2026-03-25T03:15:00Z,Station-05,Orange Line,75,delay:late_record
metro-00036,2026-03-25T03:00:00Z,Station-06,Orange Line,90,delay:late_record
metro-00037,2026-03-25T03:15:00Z,Station-07,Blue Line,71,delay:late_record
metro-00038,2026-03-25T03:00:00Z,Station-08,Green Line,75,delay:late_record
metro-00039,2026-03-25T03:45:00Z,Station-09,Blue Line,72,delay:late_record
metro-00040,2026-03-25T03:45:00Z,Station-10,Blue Line,85,delay:late_record
metro-00041,2026-03-25T04:00:00Z,Station-01,Red Line,43,delay:late_record
metro-00042,2026-03-25T04:15:00Z,Station-02,Blue Line,82,delay:late_record
metro-00043,2026-03-25T04:00:00Z,Station-03,Blue Line,89,delay:late_record
metro-00044,2026-03-25T04:45:00Z,Station-04,Red Line,43,delay:late_record
metro-00045,2026-03-25T04:45:00Z,Station-05,Blue Line,58,delay:late_record
metro-00046,2026-03-25T04:15:00Z,Station-06,Blue Line,77,delay:late_record
metro-00047,2026-03-25T04:00:00Z,Station-07,Red Line,62,delay:late_record
metro-00048,2026-03-25T04:00:00Z,Station-08,Orange Line,45,delay:late_record
metro-00049,2026-03-25T04:30:00Z,Station-09,Orange Line,56,delay:late_record
metro-00050,2026-03-25T04:00:00Z,Station-10,Green Line,60,delay:late_record
metro-00051,2026-03-25T05:00:00Z,Station-01,Red Line,62,delay:late_record
metro-00052,2026-03-25T05:15:00Z,Station-02,Red Line,90,delay:late_record
metro-00053,2026-03-25T05:30:00Z,Station-03,Blue Line,30,delay:late_record
metro-00054,2026-03-25T05:45:00Z,Station-04,Blue Line,82,delay:late_record
metro-00055,2026-03-25T05:30:00Z,Station-05,Red Line,41,delay:late_record
metro-00056,2026-03-25T05:15:00Z,Station-06,Green Line,30,delay:late_record
metro-00057,2026-03-25T05:45:00Z,Station-07,Green Line,75,delay:late_record
metro-00058,2026-03-25T05:45:00Z,Station-08,Blue Line,33,delay:late_record
metro-00059,2026-03-25T05:00:00Z,Station-09,Red Line,65,delay:late_record
metro-00060,2026-03-25T05:15:00Z,Station-10,Blue Line,50,delay:late_record
metro-00061,2026-03-25T06:15:00Z,Station-01,Red Line,52,delay:late_record
metro-00062,2026-03-25T06:15:00Z,Station-02,Blue Line,55,delay:late_record
metro-00063,2026-03-25T06:15:00Z,Station-03,Green Line,88,delay:late_record
metro-00064,2026-03-25T06:00:00Z,Station-04,Orange Line,58,delay:late_record
metro-00065,2026-03-25T06:15:00Z,Station-05,Red Line,45,delay:late_record
metro-00066,2026-03-25T06:15:00Z,Station-06,Green Line,68,delay:late_record
metro-00067,2026-03-25T06:45:00Z,Station-07,Blue Line,38,delay:late_record
metro-00068,2026-03-25T06:15:00Z,Station-08,Orange Line,78,delay:late_record
metro-00069,2026-03-25T06:00:00Z,Station-09,Blue Line,77,delay:late_record
metro-00070,2026-03-25T06:00:00Z,Station-10,Blue Line,83,delay:late_record
metro-00071,2026-03-25T07:00:00Z,Station-01,Red Line,50,delay:late_record
metro-00072,2026-03-25T07:15:00Z,Station-02,Red Line,49,delay:late_record
metro-00073,2026-03-25T07:45:00Z,Station-03,Red Line,85,delay:late_record
metro-00074,2026-03-25T07:15:00Z,Station-04,Blue Line,64,delay:late_record
metro-00075,2026-03-25T07:30:00Z,Station-05,Orange Line,50,delay:late_record
metro-00076,2026-03-25T07:15:00Z,Station-06,Orange Line,84,delay:late_record
metro-00077,2026-03-25T07:15:00Z,Station-07,Orange Line,65,delay:late_record
metro-00078,2026-03-25T07:30:00Z,Station-08,Green Line,57,delay:late_record
metro-00079,2026-03-25T07:00:00Z,Station-09,Blue Line,81,delay:late_record
metro-00080,2026-03-25T07:30:00Z,Station-10,Orange Line,89,delay:late_record
metro-00081,2026-03-25T08:00:00Z,Station-01,Red Line,46,delay:late_record
metro-00082,2026-03-25T08:00:00Z,Station-02,Blue Line,44,delay:late_record
metro-00083,2026-03-25T08:45:00Z,Station-03,Orange Line,47,delay:late_record
metro-00084,2026-03-25T08:00:00Z,Station-04,Blue Line,59,delay:late_record
metro-00085,2026-03-25T08:15:00Z,Station-05,Blue Line,36,delay:late_record
metro-00086,2026-03-25T08:00:00Z,Station-06,Blue Line,40,delay:late_record
metro-00087,2026-03-25T08:30:00Z,Station-07,Red Line,63,delay:late_record
metro-00088,2026-03-25T08:30:00Z,Station-08,Green Line,47,delay:late_record
metro-00089,2026-03-25T08:15:00Z,Station-09,Red Line,84,delay:late_record
metro-00090,2026-03-25T08:45:00Z,Station-10,Blue Line,47,delay:late_record
metro-00091,2026-03-25T09:15:00Z,Station-01,Red Line,48,delay:late_record
metro-00092,2026-03-25T09:45:00Z,Station-02,Red Line,84,delay:late_record
metro-00093,2026-03-25T09:00:00Z,Station-03,Green Line,88,delay:late_record
metro-00094,2026-03-25T09:15:00Z,Station-04,Green Line,73,delay:late_record
metro-00095,2026-03-25T09:00:00Z,Station-05,Red Line,31,delay:late_record
metro-00096,2026-03-25T09:00:00Z,Station-06,Red Line,33,delay:late_record
metro-00097,2026-03-25T09:00:00Z,Station-07,Green Line,51,delay:late_record
metro-00098,2026-03-25T09:00:00Z,Station-08,Red Line,54,delay:late_record
metro-00099,2026-03-25T09:45:00Z,Station-09,Red Line,86,delay:late_record
metro-00100,2026-03-25T09:30:00Z,Station-10,Red Line,33,delay:late_record
metro-00101,2026-03-25T10:15:00Z,Station-01,Green Line,70,delay:late_record
metro-00102,2026-03-25T10:45:00Z,Station-02,Red Line,94,delay:late_record
metro-00103,2026-03-25T10:30:00Z,Station-03,Green Line,63,delay:late_record
metro-00104,2026-03-25T10:15:00Z,Station-04,Red Line,48,delay:late_record
metro-00105,2026-03-25T10:45:00Z,Station-05,Green Line,92,delay:late_record
metro-00106,2026-03-25T10:00:00Z,Station-06,Blue Line,52,delay:late_record
metro-00107,2026-03-25T10:30:00Z,Station-07,Red Line,70,delay:late_record
metro-00108,2026-03-25T10:45:00Z,Station-08,Orange Line,35,delay:late_record
metro-00109,2026-03-25T10:45:00Z,Station-09,Orange Line,33,delay:late_record
metro-00110,2026-03-25T10:00:00Z,Station-10,Red Line,30,delay:late_record
metro-00111,2026-03-25T11:30:00Z,Station-01,Blue Line,78,delay:late_record
metro-00112,2026-03-25T11:30:00Z,Station-02,Green Line,41,delay:late_record
metro-00113,2026-03-25T11:30:00Z,Station-03,Green Line,49,delay:late_record
metro-00114,2026-03-25T11:45:00Z,Station-04,Orange Line,45,delay:late_record
metro-00115,2026-03-25T11:15:00Z,Station-05,Orange Line,49,delay:late_record
