"test_id","timestamp","phase","gate","category","test_case","result","severity","defect_id","owner_agent","evidence_path","remark"
"TL-0001","2026-03-26 22:40:00","M1","GATE-M1","可用性","服务启动健康检查","PASS","Low","","Test-Agent","execution/02_阶段检验与测试门禁.md","核心服务health check通过"
"TL-0002","2026-03-26 23:18:00","M1","GATE-M1-DOC","功能","G1-1/G1-2/G1-3 文档完整性与一致性检查","PASS","Low","","Test-Agent","execution/m1/M1_评审记录_2026-03-26.md","文档结构完整，里程碑与门禁一致"
"TL-0003","2026-03-26 23:19:00","M1","GATE-M1-PROC","接口","需求变更流程演练(提交-评估-审批-归档)","PASS","Low","","Test-Agent","execution/m1/G1-2_需求基线与变更流程_v1.0.md","流程可执行，审批链与SLA明确"
"TL-0004","2026-03-26 23:49:00","M1","GATE-M1-RISK","功能","G1-4 风险分级与升级流程完整性检查","PASS","Low","","Test-Agent","execution/m1/G1-4_周例会机制与风险台账_v1.0.md","风险评级、升级SLA、处置策略完整"
"TL-0005","2026-03-26 23:51:00","M1","GATE-M1-TEMPLATE","可用性","周例会记录模板与风险台账CSV可填报性检查","PASS","Low","","Test-Agent","execution/m1/G1-4_周例会记录模板.md","模板字段完整，可直接用于后续周会"
"TL-0006","2026-03-27 00:09:00","M1","GATE-M1-CI","可用性","CI smoke_check脚本可执行性校验","PASS","Low","","Test-Agent","execution/m1/O1-1_验证记录_2026-03-26.md","修复中文路径解析后脚本通过"
"TL-0007","2026-03-27 00:26:00","M2","GATE-M2-D1","功能","D1-1 接入脚本执行与输出完整性校验","PASS","Low","","Test-Agent","data-pipeline/ingest/staging/ingest_report.json","4类样例源成功接入并生成报告"
"TL-0008","2026-03-27 00:27:00","M2","GATE-M2-SCHEMA","接口","Schema与样例字段一致性检查","PASS","Low","","Test-Agent","data-pipeline/ingest/schemas","schema required字段与样例表头一致"
"TL-0009","2026-03-27 00:41:00","M2","GATE-M2-D2","功能","D1-2 normal模式治理执行校验","PASS","Low","","Test-Agent","data-pipeline/governance/output/governance_report_normal.json","4类源治理执行成功"
"TL-0010","2026-03-27 00:41:30","M2","GATE-M2-D2-RULE","接口","D1-2 demo模式规则命中校验","PASS","Low","","Test-Agent","data-pipeline/governance/output/governance_report_demo.json","异常/缺失/重复/延迟四类规则均命中"
"TL-0011","2026-03-27 00:53:00","M2","GATE-M2-D2-REG","功能","D1-2 延迟规则修正回归校验","PASS","Low","","Test-Agent","data-pipeline/governance/output/governance_report_normal.json","event源delay误报已消除"
"TL-0012","2026-03-27 00:56:00","M2","GATE-M2-D3","功能","D1-3 对齐脚本执行与报告生成校验","PASS","Low","","Test-Agent","data-pipeline/alignment/output/alignment_report.json","总对齐12行，报告生成成功"
"TL-0013","2026-03-27 00:56:30","M2","GATE-M2-D3-MAP","接口","D1-3 空间映射命中率校验","PASS","Low","","Test-Agent","data-pipeline/alignment/output/alignment_report.json","四类源unmapped_rows均为0"
"TL-0014","2026-03-27 08:11:00","M2","GATE-M2-D4","功能","D1-4 特征脚本执行与输出校验","PASS","Low","","Test-Agent","data-pipeline/features/output/feature_report.json","特征脚本运行成功，输出12行"
"TL-0015","2026-03-27 08:11:30","M2","GATE-M2-D4-COL","接口","D1-4 特征列完整性校验","PASS","Low","","Test-Agent","data-pipeline/features/output/feature_table.csv","时间/空间/外部/lag特征列齐全"
"TL-0016","2026-03-27 08:21:00","M2","GATE-M2-D5","功能","D1-5 质量评分脚本执行校验","PASS","Low","","Test-Agent","data-pipeline/quality/output/quality_report.json","4源评分完成，avg=100"
"TL-0017","2026-03-27 08:21:30","M2","GATE-M2-D5-DASH","接口","D1-5 ECharts配置完整性校验","PASS","Low","","Test-Agent","data-pipeline/quality/output/quality_dashboard_echarts.json","legend/xAxis/series字段齐全"
"TL-0018","2026-03-27 09:06:00","M2","GATE-M2-A1","功能","A1-1 基线模型训练脚本执行校验","PASS","Low","","Test-Agent","model/baseline/output/metrics.json","ARIMA与树模型指标成功产出"
"TL-0019","2026-03-27 09:09:00","M2","GATE-M2-B1","接口","B1-1 核心API可用性校验","PASS","Low","","Test-Agent","execution/m2/B1-1_验证记录_2026-03-27.md","health与两个核心接口返回200"
"TL-0020","2026-03-27 09:26:00","M2","GATE-M2-B2","接口","B1-2 JWT登录与角色权限校验","PASS","Low","","Test-Agent","execution/m2/B1-2_验证记录_2026-03-27.md","viewer访问admin接口403，admin访问200"
"TL-0021","2026-03-27 10:05:00","M2","GATE-M2-F1","功能","F1-1 页面骨架与五页面切换校验","PASS","Low","","Test-Agent","execution/m2/F1-1_验证记录_2026-03-27.md","导航、筛选、刷新、日志区域均可用"
"TL-0022","2026-03-27 10:12:00","M2","GATE-M2-F2","功能","F1-2 WebGIS图层显隐与地图渲染校验","PASS","Low","","Test-Agent","execution/m2/F1-2_验证记录_2026-03-27.md","热力/事件/路段三图层可独立控制"
"TL-0023","2026-03-27 10:21:00","M2","GATE-M2-O2-DEV","可用性","O1-2 dev环境 deploy+smoke 校验","PASS","Low","","Test-Agent","ops/artifacts/o1_2_smoke_dev.json","6/6 pass"
"TL-0024","2026-03-27 10:22:00","M2","GATE-M2-O2-TEST","可用性","O1-2 test环境 deploy+smoke 校验","PASS","Low","","Test-Agent","ops/artifacts/o1_2_smoke_test.json","6/6 pass"
