"release_id","timestamp","phase","env","change_type","version","operator_agent","result","rollback_version","impact_scope","evidence_path","remark"
"RL-0001","2026-03-26 22:50:00","M1","dev","ci_config","v0.1.0","Ops-Agent","SUCCESS","","CI Pipeline","execution/03_M1启动批次任务板.csv","完成M1启动批次流水线初始化"
"RL-0002","2026-03-26 23:55:00","M1","project_docs","doc_release","m1-baseline-v1.1","PM-Agent","SUCCESS","","M1文档基线","execution/m1/M1_评审记录_2026-03-26_第2轮.md","G1-1~G1-4全部进入Done并发布"
"RL-0003","2026-03-27 00:11:00","M1","project_docs","cicd_baseline","m1-cicd-v1.0","Ops-Agent","SUCCESS","","CI/CD baseline and artifacts","execution/m1/M1_评审记录_2026-03-26_第3轮.md","O1-1完成并发布"
"RL-0004","2026-03-27 00:30:00","M2","test","data_ingest_baseline","m2-d1-1-v1.0","Data-Agent","SUCCESS","","D1-1 ingest scaffold","execution/m2/D1-1_验证记录_2026-03-27.md","D1-1完成并通过评审"
"RL-0005","2026-03-27 00:43:00","M2","test","data_governance_baseline","m2-d1-2-v1.0","Data-Agent","SUCCESS","","D1-2 governance pipeline","execution/m2/D1-2_验证记录_2026-03-27.md","D1-2完成并通过评审"
"RL-0006","2026-03-27 00:54:00","M2","test","governance_rule_fix","m2-d1-2-v1.1","Data-Agent","SUCCESS","m2-d1-2-v1.0","D1-2 normal/demo output split and delay rule","execution/m2/D1-2_验证记录_2026-03-27.md","修复event delay误报并保留demo样本"
"RL-0007","2026-03-27 00:58:00","M2","test","alignment_baseline","m2-d1-3-v1.0","Data-Agent","SUCCESS","","D1-3 alignment pipeline","execution/m2/D1-3_验证记录_2026-03-27.md","D1-3完成并通过评审"
"RL-0008","2026-03-27 08:13:00","M2","test","feature_engineering_baseline","m2-d1-4-v1.0","Data-Agent","SUCCESS","","D1-4 feature pipeline","execution/m2/D1-4_验证记录_2026-03-27.md","D1-4完成并通过评审"
"RL-0009","2026-03-27 08:24:00","M2","test","quality_monitoring_baseline","m2-d1-5-v1.0","Data-Agent","SUCCESS","","D1-5 quality monitoring and scoring dashboard","execution/m2/D1-5_验证记录_2026-03-27.md","D1-5完成并通过评审"
"RL-0010","2026-03-27 09:11:00","M2","test","baseline_model_release","m2-a1-1-v1.0","Algo-Agent","SUCCESS","","A1-1 baseline model artifacts","execution/m2/A1-1_验证记录_2026-03-27.md","A1-1完成并通过评审"
"RL-0011","2026-03-27 09:12:00","M2","test","core_api_release","m2-b1-1-v1.0","Backend-Agent","SUCCESS","","B1-1 core APIs and OpenAPI","execution/m2/B1-1_验证记录_2026-03-27.md","B1-1完成并通过评审"
"RL-0012","2026-03-27 09:28:00","M2","test","auth_rbac_release","m2-b1-2-v1.0","Backend-Agent","SUCCESS","","B1-2 auth and RBAC","execution/m2/B1-2_验证记录_2026-03-27.md","B1-2完成并通过评审"
"RL-0013","2026-03-27 10:10:00","M2","test","frontend_shell_release","m2-f1-1-v1.0","Frontend-Agent","SUCCESS","","F1-1 page shell and charts","execution/m2/F1-1_验证记录_2026-03-27.md","F1-1完成并通过评审"
"RL-0014","2026-03-27 10:15:00","M2","test","webgis_layer_release","m2-f1-2-v1.0","Frontend-Agent","SUCCESS","","F1-2 webgis layers","execution/m2/F1-2_验证记录_2026-03-27.md","F1-2完成并通过评审"
"RL-0015","2026-03-27 10:25:00","M2","dev/test/prod","env_deploy_release","m2-o1-2-v1.0","Ops-Agent","SUCCESS","","O1-2 multi-env scripts and templates","execution/m2/O1-2_验证记录_2026-03-27.md","O1-2三环境deploy+smoke通过"
"RL-0016","2026-03-27 11:10:00","M3","test","deep_model_release","m3-a1-2-v1.0","Algo-Agent","SUCCESS","","A1-2 deep model artifacts","execution/m3/A1-2_验证记录_2026-03-27.md","A1-2完成并通过评审"
"RL-0017","2026-03-27 11:24:00","M3","test","cache_async_release","m3-b1-3-v1.0","Backend-Agent","SUCCESS","","B1-3 cache and async task APIs","execution/m3/B1-3_验证记录_2026-03-27.md","B1-3完成并通过评审"
