ride_id,timestamp,pickup_zone,dropoff_zone,passenger_count,reject_reasons
taxi-00001,2026-03-25T00:07:00Z,Zone-01,Zone-25,3,delay:late_record
taxi-00002,2026-03-25T00:15:00Z,Zone-08,Zone-05,1,delay:late_record
taxi-00003,2026-03-25T00:43:00Z,Zone-24,Zone-18,1,delay:late_record
taxi-00004,2026-03-25T00:37:00Z,Zone-14,Zone-02,1,delay:late_record
taxi-00005,2026-03-25T00:05:00Z,Zone-07,Zone-09,1,delay:late_record
taxi-00006,2026-03-25T00:35:00Z,Zone-07,Zone-24,4,delay:late_record
taxi-00007,2026-03-25T00:14:00Z,Zone-15,Zone-20,3,delay:late_record
taxi-00008,2026-03-25T00:51:00Z,Zone-01,Zone-07,4,delay:late_record
taxi-00009,2026-03-25T00:21:00Z,Zone-09,Zone-05,2,delay:late_record
taxi-00010,2026-03-25T00:48:00Z,Zone-11,Zone-04,1,delay:late_record
taxi-00011,2026-03-25T00:24:00Z,Zone-04,Zone-13,3,delay:late_record
taxi-00012,2026-03-25T00:38:00Z,Zone-09,Zone-02,4,delay:late_record
taxi-00013,2026-03-25T00:34:00Z,Zone-04,Zone-14,1,delay:late_record
taxi-00014,2026-03-25T00:35:00Z,Zone-10,Zone-22,3,delay:late_record
taxi-00015,2026-03-25T00:36:00Z,Zone-07,Zone-24,1,delay:late_record
taxi-00016,2026-03-25T00:02:00Z,Zone-22,Zone-08,3,delay:late_record
taxi-00017,2026-03-25T00:05:00Z,Zone-08,Zone-04,4,delay:late_record
taxi-00018,2026-03-25T00:17:00Z,Zone-15,Zone-22,3,delay:late_record
taxi-00019,2026-03-25T00:10:00Z,Zone-12,Zone-13,2,delay:late_record
taxi-00020,2026-03-25T00:42:00Z,Zone-09,Zone-24,1,delay:late_record
taxi-00021,2026-03-25T00:38:00Z,Zone-21,Zone-06,2,delay:late_record
taxi-00022,2026-03-25T00:10:00Z,Zone-15,Zone-13,3,delay:late_record
taxi-00023,2026-03-25T00:59:00Z,Zone-21,Zone-24,2,delay:late_record
taxi-00024,2026-03-25T00:43:00Z,Zone-11,Zone-02,2,delay:late_record
taxi-00025,2026-03-25T00:52:00Z,Zone-02,Zone-12,4,delay:late_record
taxi-00026,2026-03-25T00:17:00Z,Zone-03,Zone-08,3,delay:late_record
taxi-00027,2026-03-25T00:13:00Z,Zone-21,Zone-16,4,delay:late_record
taxi-00028,2026-03-25T00:56:00Z,Zone-21,Zone-15,2,delay:late_record
taxi-00029,2026-03-25T00:16:00Z,Zone-05,Zone-09,3,delay:late_record
taxi-00030,2026-03-25T00:47:00Z,Zone-19,Zone-14,4,delay:late_record
taxi-00031,2026-03-25T00:23:00Z,Zone-08,Zone-05,4,delay:late_record
taxi-00032,2026-03-25T00:05:00Z,Zone-25,Zone-02,1,delay:late_record
taxi-00033,2026-03-25T00:09:00Z,Zone-21,Zone-06,4,delay:late_record
taxi-00034,2026-03-25T00:38:00Z,Zone-03,Zone-14,4,delay:late_record
taxi-00035,2026-03-25T00:38:00Z,Zone-15,Zone-18,3,delay:late_record
taxi-00036,2026-03-25T01:55:00Z,Zone-01,Zone-23,1,delay:late_record
taxi-00037,2026-03-25T01:43:00Z,Zone-18,Zone-09,3,delay:late_record
taxi-00038,2026-03-25T01:07:00Z,Zone-10,Zone-15,2,delay:late_record
taxi-00039,2026-03-25T01:29:00Z,Zone-01,Zone-25,3,delay:late_record
taxi-00040,2026-03-25T01:32:00Z,Zone-25,Zone-06,1,delay:late_record
taxi-00041,2026-03-25T01:55:00Z,Zone-21,Zone-10,2,delay:late_record
taxi-00042,2026-03-25T01:09:00Z,Zone-12,Zone-06,1,delay:late_record
taxi-00043,2026-03-25T01:38:00Z,Zone-11,Zone-17,1,delay:late_record
taxi-00044,2026-03-25T01:07:00Z,Zone-12,Zone-10,2,delay:late_record
taxi-00045,2026-03-25T01:03:00Z,Zone-08,Zone-20,1,delay:late_record
taxi-00046,2026-03-25T01:05:00Z,Zone-24,Zone-16,1,delay:late_record
taxi-00047,2026-03-25T01:48:00Z,Zone-18,Zone-05,2,delay:late_record
taxi-00048,2026-03-25T01:42:00Z,Zone-16,Zone-19,2,delay:late_record
taxi-00049,2026-03-25T01:16:00Z,Zone-17,Zone-21,4,delay:late_record
taxi-00050,2026-03-25T01:13:00Z,Zone-18,Zone-25,2,delay:late_record
taxi-00051,2026-03-25T01:45:00Z,Zone-10,Zone-14,3,delay:late_record
taxi-00052,2026-03-25T01:28:00Z,Zone-17,Zone-15,1,delay:late_record
taxi-00053,2026-03-25T01:15:00Z,Zone-08,Zone-03,3,delay:late_record
taxi-00054,2026-03-25T01:01:00Z,Zone-19,Zone-18,2,delay:late_record
taxi-00055,2026-03-25T01:37:00Z,Zone-08,Zone-01,1,delay:late_record
taxi-00056,2026-03-25T01:45:00Z,Zone-21,Zone-02,2,delay:late_record
taxi-00057,2026-03-25T01:04:00Z,Zone-02,Zone-12,1,delay:late_record
taxi-00058,2026-03-25T01:32:00Z,Zone-08,Zone-10,4,delay:late_record
taxi-00059,2026-03-25T01:13:00Z,Zone-18,Zone-05,4,delay:late_record
taxi-00060,2026-03-25T01:15:00Z,Zone-16,Zone-14,2,delay:late_record
taxi-00061,2026-03-25T01:06:00Z,Zone-04,Zone-23,4,delay:late_record
taxi-00062,2026-03-25T01:22:00Z,Zone-14,Zone-15,4,delay:late_record
taxi-00063,2026-03-25T01:55:00Z,Zone-24,Zone-02,1,delay:late_record
taxi-00064,2026-03-25T01:03:00Z,Zone-13,Zone-25,3,delay:late_record
taxi-00065,2026-03-25T01:51:00Z,Zone-04,Zone-09,2,delay:late_record
taxi-00066,2026-03-25T01:12:00Z,Zone-18,Zone-15,2,delay:late_record
